timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
314237,26.08,32.82,101.86,406,1,1.72,0.72,0.89,1.18
314487,26.08,32.83,101.86,405,1,1.72,0.72,0.89,1.18
314737,26.07,32.81,101.86,405,1,1.72,0.72,0.89,1.18
314987,26.08,32.83,101.86,401,1,1.72,0.72,0.88,1.18
315237,26.08,32.80,101.86,401,2,1.72,0.72,0.89,1.18
315487,26.07,32.81,101.86,400,7,1.72,0.72,0.89,1.18
315737,26.08,32.83,101.86,400,4,1.72,0.72,0.89,1.18
315987,26.07,32.84,101.86,400,2,1.72,0.72,0.88,1.18
