timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
4148395,28.07,26.35,102.57,13117,22180,2.59,1.26,1.81,3.07
4148645,28.07,26.36,102.57,11562,20054,2.59,1.26,1.80,3.07
4148895,28.06,26.38,102.57,10844,18903,2.59,1.25,1.80,3.06
4149145,28.06,26.38,102.57,10010,16638,2.59,1.24,1.80,3.06
4149395,28.05,26.38,102.57,9512,15884,2.58,1.24,1.79,3.05
4149645,28.04,26.37,102.57,9060,15614,2.57,1.23,1.78,3.05
4149895,28.04,26.38,102.57,8580,15242,2.57,1.22,1.78,3.05
4150145,28.03,26.39,102.57,8319,15096,2.58,1.21,1.77,3.04
