timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
4182395,27.86,26.95,102.57,36296,41944,2.58,1.19,1.81,3.10
4182645,27.86,26.95,102.57,47365,47417,2.58,1.18,1.81,3.11
4182895,27.86,26.95,102.57,51960,48811,2.57,1.18,1.81,3.11
4183145,27.86,26.96,102.57,51423,47905,2.57,1.18,1.81,3.11
4183395,27.86,26.95,102.57,47604,45987,2.57,1.18,1.82,3.12
4183645,27.85,26.97,102.57,41786,42641,2.57,1.18,1.82,3.11
4183895,27.85,26.98,102.57,34447,39330,2.57,1.18,1.81,3.10
4184145,27.85,26.98,102.57,27728,35321,2.57,1.18,1.81,3.09
