timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
4096395,28.53,26.19,102.57,57330,51355,2.65,1.33,1.86,3.14
4096645,28.53,26.19,102.57,57330,51739,2.65,1.33,1.86,3.13
4096895,28.53,26.18,102.57,57330,54005,2.65,1.33,1.86,3.12
4097145,28.53,26.20,102.57,57330,60000,2.65,1.33,1.86,3.12
4097395,28.53,26.21,102.57,57330,60000,2.65,1.32,1.86,3.12
4097645,28.52,26.21,102.57,57330,60000,2.65,1.33,1.85,3.11
4097895,28.53,26.21,102.57,57330,60000,2.65,1.34,1.86,3.12
4098145,28.52,26.20,102.57,57330,60000,2.66,1.35,1.87,3.13
