timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
4084395,28.69,26.04,102.57,57330,56340,2.64,1.32,1.83,3.12
4084645,28.69,26.05,102.57,57330,51843,2.64,1.31,1.83,3.13
4084895,28.70,26.05,102.57,57330,50519,2.64,1.31,1.83,3.13
4085145,28.69,26.05,102.57,57330,49473,2.64,1.31,1.83,3.13
4085395,28.69,26.07,102.57,57330,51565,2.65,1.31,1.84,3.13
4085645,28.69,26.09,102.57,57330,58501,2.64,1.31,1.84,3.13
4085895,28.69,26.07,102.57,57330,60000,2.65,1.31,1.83,3.14
4086145,28.69,26.09,102.57,57330,60000,2.65,1.31,1.84,3.14
