timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
4162395,27.81,26.56,102.56,57330,60000,2.58,1.20,1.78,3.06
4162645,27.81,26.55,102.56,57330,60000,2.58,1.20,1.78,3.07
4162895,27.81,26.55,102.56,57330,58501,2.58,1.21,1.78,3.09
4163145,27.82,26.57,102.57,57330,55991,2.58,1.21,1.78,3.09
4163395,27.81,26.57,102.56,57330,54214,2.60,1.22,1.80,3.10
4163645,27.82,26.58,102.56,57330,50728,2.60,1.22,1.81,3.11
4163895,27.82,26.58,102.56,54615,48079,2.60,1.22,1.81,3.10
4164145,27.82,26.56,102.56,46530,44001,2.60,1.21,1.81,3.10
