timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
4106395,28.53,26.35,102.57,57330,53830,2.61,1.26,1.83,3.10
4106645,28.52,26.35,102.57,57330,52645,2.61,1.26,1.83,3.11
4106895,28.52,26.34,102.57,57330,49473,2.61,1.26,1.83,3.10
4107145,28.52,26.36,102.57,57330,49926,2.62,1.26,1.83,3.10
4107395,28.51,26.33,102.57,57330,52436,2.62,1.26,1.83,3.11
4107645,28.52,26.34,102.57,57330,55991,2.62,1.26,1.83,3.10
4107895,28.52,26.34,102.57,57330,56061,2.62,1.26,1.83,3.10
4108145,28.51,26.33,102.57,57330,53273,2.62,1.25,1.83,3.10
