timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
4192395,27.83,27.09,102.57,8835,15265,2.54,1.19,1.78,3.03
4192645,27.83,27.09,102.57,9356,15749,2.54,1.18,1.78,3.04
4192895,27.83,27.09,102.57,9865,16707,2.53,1.18,1.78,3.04
4193145,27.83,27.09,102.57,11435,19984,2.53,1.17,1.77,3.05
4193395,27.83,27.10,102.57,21098,30894,2.53,1.17,1.76,3.05
4193645,27.83,27.10,102.57,33014,40654,2.54,1.16,1.76,3.05
4193895,27.83,27.10,102.56,40563,43722,2.55,1.16,1.76,3.05
4194145,27.83,27.10,102.57,42681,44001,2.55,1.15,1.75,3.05
