timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6584494,28.52,26.69,102.51,10491,15479,2.51,1.35,1.72,2.95
6584744,28.52,26.70,102.51,10062,15017,2.50,1.34,1.72,2.95
6584994,28.52,26.69,102.51,9900,14814,2.50,1.33,1.71,2.95
6585244,28.52,26.67,102.51,11528,15996,2.50,1.33,1.71,2.94
6585494,28.52,26.66,102.51,13269,17683,2.49,1.33,1.70,2.94
6585744,28.52,26.65,102.51,12414,16847,2.49,1.32,1.69,2.94
6585994,28.52,26.64,102.51,13724,18415,2.48,1.33,1.69,2.95
6586244,28.51,26.63,102.51,14234,18590,2.48,1.33,1.69,2.95
