timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6586494,28.51,26.61,102.51,14068,18380,2.48,1.33,1.68,2.95
6586744,28.51,26.60,102.51,15515,18938,2.48,1.32,1.68,2.95
6586994,28.52,26.60,102.51,18603,22215,2.48,1.32,1.68,2.95
6587244,28.52,26.59,102.51,21994,26467,2.48,1.32,1.68,2.95
6587494,28.52,26.59,102.51,23345,27165,2.48,1.32,1.67,2.95
6587744,28.51,26.55,102.51,23317,27409,2.49,1.32,1.68,2.96
6587994,28.52,26.57,102.51,23662,27548,2.48,1.32,1.68,2.96
6588244,28.52,26.56,102.51,23731,27931,2.48,1.32,1.68,2.96
