timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6478494,28.81,26.70,102.51,57241,41909,2.54,1.46,1.66,3.11
6478744,28.81,26.68,102.51,53213,40515,2.54,1.46,1.66,3.11
6478994,28.82,26.66,102.51,54496,41212,2.54,1.46,1.66,3.10
6479244,28.81,26.64,102.51,56226,41874,2.53,1.45,1.66,3.09
6479494,28.82,26.62,102.51,55958,42014,2.53,1.45,1.66,3.09
6479744,28.82,26.63,102.51,56882,41909,2.52,1.45,1.66,3.09
6479994,28.82,26.61,102.51,57330,42571,2.52,1.45,1.66,3.09
6480244,28.83,26.58,102.51,57330,42223,2.53,1.45,1.66,3.09
