timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6482494,28.82,26.47,102.51,57330,53133,2.56,1.45,1.65,3.10
6482744,28.81,26.46,102.50,57330,56549,2.55,1.45,1.65,3.11
6482994,28.82,26.44,102.51,57330,59826,2.55,1.45,1.66,3.12
6483244,28.82,26.43,102.51,57330,60000,2.55,1.45,1.66,3.13
6483494,28.81,26.43,102.51,57330,60000,2.56,1.46,1.66,3.14
6483744,28.81,26.43,102.51,57330,60000,2.57,1.47,1.67,3.15
6483994,28.82,26.43,102.51,57330,60000,2.58,1.48,1.68,3.15
6484244,28.81,26.42,102.51,57330,60000,2.57,1.48,1.68,3.16
