timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6638494,28.47,26.50,102.51,40742,41073,2.57,1.45,1.84,3.03
6638744,28.46,26.49,102.50,55450,48637,2.56,1.44,1.83,3.04
6638994,28.46,26.50,102.50,57330,54249,2.56,1.43,1.83,3.05
6639244,28.47,26.51,102.50,57330,56445,2.56,1.42,1.83,3.08
6639494,28.46,26.50,102.51,57330,57734,2.57,1.43,1.84,3.10
6639744,28.45,26.52,102.50,57330,60000,2.57,1.43,1.84,3.11
6639994,28.45,26.52,102.50,57330,60000,2.57,1.43,1.85,3.12
6640244,28.46,26.50,102.51,57330,60000,2.57,1.42,1.85,3.13
