timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6396483,28.63,26.30,102.51,400,115,1.87,1.49,1.12,1.34
6396733,28.64,26.30,102.51,400,116,1.87,1.50,1.12,1.34
6396983,28.63,26.33,102.51,400,114,1.87,1.50,1.12,1.33
6397233,28.64,26.33,102.51,400,115,1.87,1.50,1.12,1.33
6397483,28.63,26.32,102.51,400,113,1.87,1.51,1.12,1.33
6397733,28.64,26.33,102.51,400,114,1.87,1.51,1.12,1.33
6397983,28.63,26.34,102.51,400,116,1.87,1.51,1.11,1.33
6398233,28.64,26.35,102.51,400,112,1.87,1.51,1.12,1.33
