timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6506494,28.70,25.94,102.51,57330,55538,2.60,1.50,1.73,3.11
6506744,28.70,25.95,102.51,57330,52157,2.60,1.49,1.73,3.10
6506994,28.70,25.95,102.51,57330,50484,2.59,1.49,1.73,3.10
6507244,28.70,25.96,102.51,57330,55469,2.59,1.48,1.73,3.10
6507494,28.70,25.96,102.51,57330,59094,2.58,1.47,1.72,3.09
6507744,28.70,25.98,102.51,57330,59826,2.58,1.47,1.72,3.09
6507994,28.70,25.98,102.51,57330,59547,2.58,1.47,1.72,3.10
6508244,28.70,25.98,102.51,57330,57525,2.58,1.47,1.73,3.11
