timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
6554494,28.56,26.66,102.51,57330,49125,2.56,1.42,1.76,3.05
6554744,28.56,26.66,102.51,57330,56340,2.57,1.43,1.75,3.07
6554994,28.55,26.64,102.51,57330,59094,2.57,1.43,1.75,3.09
6555244,28.54,26.64,102.50,57330,59791,2.57,1.43,1.76,3.10
6555494,28.56,26.66,102.51,57330,58257,2.58,1.43,1.77,3.11
6555744,28.55,26.63,102.51,57330,58710,2.57,1.43,1.77,3.11
6555994,28.55,26.67,102.51,57330,59094,2.57,1.44,1.77,3.11
6556244,28.55,26.65,102.51,57330,60000,2.57,1.43,1.77,3.12
