timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1752318,28.23,30.42,102.54,19485,16672,2.66,1.39,1.85,3.04
1752568,28.23,30.40,102.54,20781,18067,2.67,1.41,1.86,3.05
1752818,28.23,30.36,102.54,23276,20472,2.68,1.42,1.87,3.05
1753068,28.23,30.33,102.54,23855,20820,2.68,1.42,1.88,3.05
1753318,28.23,30.28,102.54,24351,21274,2.68,1.41,1.88,3.04
1753568,28.23,30.23,102.54,24034,21204,2.68,1.41,1.87,3.03
1753818,28.23,30.20,102.54,24999,21796,2.69,1.45,1.86,3.04
1754068,28.22,30.17,102.54,35491,27931,2.70,1.51,1.86,3.04
