timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1808318,28.17,28.44,102.54,57330,42955,2.71,1.44,1.94,3.14
1808568,28.17,28.43,102.54,57330,41386,2.71,1.43,1.94,3.13
1808818,28.17,28.44,102.54,57330,40201,2.71,1.43,1.94,3.13
1809068,28.18,28.43,102.54,57330,41979,2.71,1.42,1.93,3.13
1809318,28.18,28.41,102.54,57330,42676,2.71,1.41,1.93,3.12
1809568,28.17,28.42,102.54,57330,42153,2.72,1.43,1.93,3.12
1809818,28.17,28.41,102.54,57062,40131,2.72,1.44,1.93,3.12
1810068,28.17,28.40,102.54,54287,38423,2.72,1.46,1.94,3.15
