timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1750318,28.23,30.63,102.54,28748,26677,2.69,1.45,1.89,3.08
1750568,28.23,30.62,102.54,25757,23853,2.68,1.44,1.88,3.07
1750818,28.23,30.60,102.54,23896,21866,2.68,1.44,1.87,3.06
1751068,28.23,30.58,102.54,23124,20681,2.67,1.43,1.87,3.05
1751318,28.23,30.56,102.54,24392,22040,2.66,1.42,1.86,3.05
1751568,28.23,30.54,102.54,23703,21727,2.66,1.40,1.86,3.04
1751818,28.23,30.49,102.54,21594,19287,2.66,1.39,1.85,3.04
1752068,28.23,30.46,102.54,19982,17753,2.65,1.38,1.85,3.03
