timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1864318,28.18,29.18,102.54,27080,26502,2.66,1.39,1.93,3.10
1864568,28.17,29.12,102.54,31582,29779,2.66,1.38,1.93,3.09
1864818,28.18,29.10,102.55,36177,31347,2.66,1.37,1.93,3.09
1865068,28.16,29.08,102.54,37370,32254,2.66,1.36,1.93,3.09
1865318,28.17,29.05,102.54,34178,29988,2.66,1.37,1.94,3.10
1865568,28.17,29.02,102.54,31105,28245,2.65,1.36,1.94,3.10
1865818,28.16,29.00,102.54,28059,26084,2.65,1.35,1.94,3.10
1866068,28.16,28.96,102.54,25288,23888,2.66,1.34,1.94,3.10
