timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1796318,28.16,28.76,102.54,42293,31278,2.65,1.45,1.93,3.12
1796568,28.17,28.73,102.54,33611,27095,2.64,1.43,1.93,3.11
1796818,28.17,28.74,102.54,26667,22947,2.64,1.42,1.93,3.11
1797068,28.17,28.73,102.54,24310,20123,2.63,1.41,1.93,3.10
1797318,28.18,28.72,102.54,24475,20925,2.63,1.39,1.92,3.08
1797568,28.17,28.73,102.54,31851,26816,2.63,1.38,1.93,3.07
1797818,28.17,28.72,102.54,40414,31766,2.63,1.37,1.92,3.05
1798068,28.17,28.72,102.54,38355,30441,2.63,1.36,1.92,3.04
