timestamp,temp,humd,pres,co2,voc1,voc2,no2,eth,co
1818318,28.17,28.25,102.54,57330,41874,2.76,1.53,2.03,3.15
1818568,28.18,28.25,102.54,55391,40480,2.76,1.54,2.03,3.15
1818818,28.18,28.27,102.54,57121,41770,2.76,1.52,2.02,3.14
1819068,28.17,28.26,102.54,57330,43234,2.76,1.51,2.02,3.14
1819318,28.17,28.24,102.54,57330,44802,2.76,1.50,2.01,3.14
1819568,28.17,28.22,102.54,57330,44802,2.76,1.51,2.01,3.14
1819818,28.17,28.22,102.54,57330,45604,2.75,1.50,2.00,3.13
1820068,28.16,28.22,102.54,57330,47556,2.75,1.49,2.00,3.13
